"Interval start","Tutti i pacchetti","Errori TCP"
0,104,50
1,16,1
2,47,22
3,49,12
4,43,14
5,35,18
6,36,15
7,5,2
8,24,7
9,12,2
10,25,6
11,9,3
12,10,4
13,8,0
14,7,0
15,28,18
16,26,9
17,17,7
18,13,5
19,56,39
20,48,36
21,21,15
22,18,0
23,122,44
24,6,2
25,11,2
26,7,0
27,44,16
28,7,3
29,63,12
30,42,10
31,62,31
32,134,23
33,70,33
34,16,8
35,21,3
36,15,2
37,82,44
38,3,0
39,41,1
40,79,47
41,9,1
42,5,3
43,21,12
44,55,44
45,28,13
46,148,38
47,267,155
48,352,223
49,115,63
50,222,100
51,125,37
52,160,67
53,36,8
54,28,15
55,214,110
56,19,8
57,17,5
58,150,73
59,26,10
60,37,6
61,96,57
62,183,68
63,112,31
64,193,40
65,205,107
66,53,12
67,73,20
68,185,107
69,65,18
70,70,22
71,130,39
72,65,38
73,12,2
74,2,1
75,79,42
76,9,1
77,11,9
78,100,69
79,36,12
80,30,9
81,98,45
82,11,4
83,42,4
84,12,6
85,87,69
86,9,2
87,5,2
88,70,36
89,84,34
90,13,9
91,44,20
92,12,0
93,104,50
94,597,386
95,463,283
96,146,115
97,11,5
98,21,8
99,188,113
100,7,1
101,13,4
102,92,54
103,87,68
104,14,4
105,119,60
106,124,78
107,30,14
108,49,24
109,136,83
110,14,2
111,7,0
112,83,38
113,67,30
114,7,0
115,86,46
116,91,52
117,22,8
118,297,151
119,125,67
120,160,28
121,103,42
122,120,57
123,141,87
124,38,11
125,88,57
126,7,2
127,26,6
128,82,33
129,10,4
130,16,4
131,16,5
132,78,45
133,169,100
134,14,3
135,38,1
136,157,102
137,28,11
138,19,5
139,67,30
140,170,76
141,31,9
142,11,2
143,90,51
144,29,16
145,7,3
146,62,33
147,5,2
148,9,5
149,17,9
150,22,4
151,29,11
152,7,2
153,90,58
154,135,55
155,55,31
156,78,38
157,42,21
158,58,23
159,46,18
160,38,13
161,46,17
162,30,17
163,36,11
164,30,17
165,41,22
166,47,25
167,41,25
168,7,5
169,18,7
170,98,26
171,54,17
172,13,7
173,5,2
174,79,9
175,36,9
176,14,4
177,47,22
178,8,1
179,48,12
180,6,0
181,31,17
